"radio","radio"
"A catchy song is playing!","¡Está sonando una canción pegajosa!"
"It's the Guess That Fusion Quiz show! Looks like the contestant isn't doing so hot!","Es el programa “Adivina esa Fusión”. ¡Parece que al concursante no le está yendo muy bien!"
"It's the Guess That Fusion Quiz show! Looks like the contestant is doing pretty good!","Es el programa “Adivina esa Fusión”. ¡Parece que al concursante le está yendo bastante bien!"
"A newscaster is doing a story piece about the newest Kanto champion: you!","Un reportero está haciendo una noticia sobre el nuevo campeón de Kanto: ¡tú!"
"A newscaster is talking about how a young savior prevented Team Rocket from going forward with their triple fusion experiment.","Un reportero habla sobre cómo un joven salvador impidió que el Team Rocket continuara con su experimento de triple fusión."
"A newscaster is talking about reported Team Rocket activity in the Sevii Islands.","Un reportero habla sobre la actividad reportada del Team Rocket en las Islas Sevii."
"A newscaster is talking about the crisis that was averted in Saffron City, thanks to some unknown hero!","Un reportero habla sobre la crisis que se evitó en Ciudad Azafrán, ¡gracias a un héroe desconocido!"
"A newscaster is talking about the Saffron City Team Rocket takeover!","Un reportero habla sobre la toma de control del Team Rocket en Ciudad Azafrán."
"A newscaster is talking about a local criminal group whose hideout was recently discovered in Celadon City's sewers.","Un reportero habla sobre un grupo criminal local cuyo escondite fue descubierto recientemente en las alcantarillas de Ciudad Celadon."
"A newscaster is talking about the S.S. Anne moored in Vermillion City's harbour.","Un reportero habla sobre el S.S. Anne atracado en el puerto de Ciudad Carmín."
"A newscaster is talking about increased criminal activity around the Kanto Underground.","Un reportero habla sobre el aumento de actividad criminal en el Subterráneo de Kanto."
"A newscaster is talking about some reported disturbance in Mt. Moon.","Un reportero habla sobre una supuesta alteración en el Monte Luna."
"A newscaster is talking about the sudden appearance of a new criminal group in the region.","Un reportero habla sobre la aparición repentina de un nuevo grupo criminal en la región."
"It's the Guess That Fusion Quiz show! They're giving out a special prize to contestants who can score over a certain amount of points!","Es el programa “Adivina esa Fusión”. ¡Están dando un premio especial a los concursantes que puedan obtener cierta cantidad de puntos!"
"A Goldenrod City radio host is rambling on... Better get going!","Un locutor de radio de Ciudad Trigal está hablando sin parar… ¡Será mejor que te pongas en marcha!"